title,year,duration,rating
1. Les Évadés,1994,2h 22m,"9,3"
2. Le Parrain,1972,2h 55m,"9,2"
3. The Dark Knight : Le Chevalier noir,2008,2h 32m,"9,0"
"4. Le Parrain, 2ᵉ partie",1974,3h 22m,"9,0"
5. 12 Hommes en colère,1957,1h 36m,"9,0"
6. Le Seigneur des anneaux : Le Retour du roi,2003,3h 21m,"9,0"
7. La Liste de Schindler,1993,3h 15m,"9,0"
8. Pulp Fiction,1994,2h 34m,"8,9"
9. Le Seigneur des anneaux : La Communauté de l'anneau,2001,2h 58m,"8,9"
"10. Le Bon, la Brute et le Truand",1966,2h 41m,"8,8"
11. Forrest Gump,1994,2h 22m,"8,8"
12. Le Seigneur des anneaux : Les Deux Tours,2002,2h 59m,"8,8"
13. Fight Club,1999,2h 19m,"8,8"
14. Inception,2010,2h 28m,"8,8"
15. L'Empire contre-attaque,1980,2h 4m,"8,7"
16. Matrix,1999,2h 16m,"8,7"
17. Les Affranchis,1990,2h 25m,"8,7"
18. Vol au-dessus d'un nid de coucou,1975,2h 13m,"8,7"
19. Interstellar,2014,2h 49m,"8,7"
20. Seven,1995,2h 7m,"8,6"
21. La vie est belle,1946,2h 10m,"8,6"
22. Le Silence des agneaux,1991,1h 58m,"8,6"
23. Les 7 Samouraïs,1954,3h 27m,"8,6"
24. Il faut sauver le soldat Ryan,1998,2h 49m,"8,6"
25. La cité de Dieu,2002,2h 10m,"8,6"
26. La Ligne verte,1999,3h 9m,"8,6"
27. La vie est belle,1997,1h 56m,"8,6"
28. Terminator 2 : Le Jugement dernier,1991,2h 17m,"8,6"
29. Star Wars: Épisode IV - Un nouvel espoir,1977,2h 1m,"8,6"
30. Retour vers le futur,1985,1h 56m,"8,5"
31. Le Voyage de Chihiro,2001,2h 4m,"8,6"
32. Le pianiste,2002,2h 30m,"8,5"
33. Gladiator,2000,2h 35m,"8,5"
34. Parasite,2019,2h 12m,"8,5"
35. Psychose,1960,1h 49m,"8,5"
36. Le Roi lion,1994,1h 28m,"8,5"
37. Le Tombeau des lucioles,1988,1h 28m,"8,5"
38. Les Infiltrés,2006,2h 31m,"8,5"
39. Whiplash,2014,1h 46m,"8,5"
40. Harakiri,1962,2h 13m,"8,6"
41. American History X,1998,1h 59m,"8,5"
42. Le Prestige,2006,2h 10m,"8,5"
43. Léon,1994,1h 50m,"8,5"
44. Spider-Man: Across the Spider-Verse,2023,2h 20m,"8,5"
45. Casablanca,1942,1h 42m,"8,5"
46. Usual Suspects,1995,1h 46m,"8,5"
47. Intouchables,2011,1h 52m,"8,5"
48. Cinéma Paradiso,1988,2h 54m,"8,5"
49. Les Temps modernes,1936,1h 27m,"8,5"
"50. Alien, le 8ème passager",1979,1h 57m,"8,5"
51. Fenêtre sur cour,1954,1h 52m,"8,5"
52. Il était une fois dans l'Ouest,1968,2h 46m,"8,5"
53. Django Unchained,2012,2h 45m,"8,5"
54. Les Lumières de la ville,1931,1h 27m,"8,5"
55. Apocalypse Now,1979,2h 27m,"8,4"
56. Dune : Deuxième Partie,2024,2h 46m,"8,5"
57. Memento,2000,1h 53m,"8,4"
58. WALL·E,2008,1h 38m,"8,4"
59. Les Aventuriers de l'arche perdue,1981,1h 55m,"8,4"
60. La Vie des autres,2006,2h 17m,"8,4"
61. Avengers: Infinity War,2018,2h 29m,"8,4"
62. Boulevard du Crépuscule,1950,1h 50m,"8,4"
63. Spider-Man: New Generation,2018,1h 57m,"8,4"
64. Les Sentiers de la gloire,1957,1h 28m,"8,4"
65. Témoin à charge,1957,1h 56m,"8,4"
66. Shining,1980,2h 26m,"8,4"
67. Le dictateur,1940,2h 5m,"8,4"
68. 12th Fail,2023,2h 27m, (146 k)
"69. Aliens, le retour",1986,2h 17m,"8,4"
70. Inglourious Basterds,2009,2h 33m,"8,4"
71. The Dark Knight Rises,2012,2h 44m,"8,4"
72. Coco,2017,1h 45m,"8,4"
73. Amadeus,1984,2h 40m,"8,4"
74. Toy Story,1995,1h 21m,"8,3"
75. Avengers: Endgame,2019,3h 1m,"8,4"
76. Will Hunting,1997,2h 6m,"8,3"
77. Old Boy,2003,2h,"8,3"
78. Dr. Folamour ou : comment j'ai appris à ne plus m'en faire et à aimer la bombe,1964,1h 35m,"8,3"
79. American Beauty,1999,2h 2m,"8,3"
80. Le Bateau,1981,2h 29m,"8,4"
81. Braveheart,1995,2h 58m,"8,3"
82. Hababam Sinifi: Sinifta Kaldi,1975,1h 35m, (26 k)
83. Princesse Mononoké,1997,2h 13m,"8,3"
84. Your Name.,2016,1h 46m,"8,4"
85. Entre le ciel et l'enfer,1963,2h 23m,"8,4"
86. 3 Idiots,2009,2h 50m,"8,4"
87. Joker,2019,2h 2m,"8,3"
88. Il était une fois en Amérique,1984,3h 49m,"8,3"
89. Capharnaüm,2018,2h 6m,"8,4"
90. Chantons sous la pluie,1952,1h 43m,"8,3"
91. Requiem pour un massacre,1985,2h 22m,"8,3"
92. Requiem for a Dream,2000,1h 42m,"8,3"
93. Toy Story 3,2010,1h 43m,"8,3"
94. Le Retour du Jedi,1983,2h 11m,"8,3"
95. La Chasse,2012,1h 55m,"8,3"
96. Vivre,1952,2h 23m,"8,3"
97. Eternal Sunshine of the Spotless Mind,2004,1h 48m,"8,3"
98. 2001 : L'Odyssée de l'espace,1968,2h 29m,"8,3"
99. Reservoir Dogs,1992,1h 39m,"8,3"
100. La garçonnière,1960,2h 5m,"8,3"
101. Incendies,2010,2h 11m,"8,3"
102. Lawrence d'Arabie,1962,3h 47m,"8,3"
103. Scarface,1983,2h 50m,"8,3"
104. Assurance sur la mort,1944,1h 47m,"8,3"
105. La mort aux trousses,1959,2h 16m,"8,3"
106. Heat,1995,2h 50m,"8,3"
107. Citizen Kane,1941,1h 59m,"8,3"
108. Là-haut,2009,1h 36m,"8,3"
109. M le maudit,1931,1h 58m,"8,3"
110. Full Metal Jacket,1987,1h 56m,"8,2"
111. Sueurs froides,1958,2h 8m,"8,3"
112. Le Fabuleux Destin d'Amélie Poulain,2001,2h 2m,"8,3"
113. Une séparation,2011,2h 3m,"8,3"
114. Du silence et des ombres...,1962,2h 9m,"8,3"
115. Orange mécanique,1971,2h 16m,"8,2"
116. Piège de cristal,1988,2h 12m,"8,2"
117. Taare Zameen Par,2007,2h 42m,"8,3"
118. L'Arnaque,1973,2h 9m,"8,3"
119. Indiana Jones et la Dernière Croisade,1989,2h 7m,"8,2"
120. Oppenheimer,2023,3h,"8,3"
121. Metropolis,1927,2h 33m,"8,3"
122. Snatch : Tu braques ou tu raques,2000,1h 44m,"8,2"
123. 1917,2019,1h 59m,"8,2"
124. L.A. Confidential,1997,2h 18m,"8,2"
125. Le Voleur de bicyclette,1948,1h 29m,"8,2"
126. La Chute,2004,2h 36m,"8,2"
127. Dangal,2016,2h 41m,"8,3"
128. Taxi Driver,1976,1h 54m,"8,2"
129. Le Loup de Wall Street,2013,3h,"8,2"
130. Hamilton,2020,2h 40m,"8,3"
131. Batman Begins,2005,2h 20m,"8,2"
132. Green Book : Sur les routes du sud,2018,2h 10m,"8,2"
133. ...et pour quelques dollars de plus,1965,2h 12m,"8,2"
134. Jugement à Nuremberg,1961,2h 59m,"8,3"
135. The Truman Show,1998,1h 43m,"8,2"
136. Certains l'aiment chaud,1959,2h 1m,"8,2"
137. Shutter Island,2010,2h 18m,"8,2"
138. Le Kid,1921,1h 8m,"8,2"
139. The Father,2020,1h 37m,"8,2"
140. Ève...,1950,2h 18m,"8,2"
141. Jurassic Park,1993,2h 7m,"8,2"
142. There Will Be Blood,2007,2h 38m,"8,2"
143. Casino,1995,2h 58m,"8,2"
144. Sixième Sens,1999,1h 47m,"8,2"
145. Ran,1985,2h 40m,"8,2"
146. Top Gun: Maverick,2022,2h 10m,"8,2"
147. No Country for Old Men,2007,2h 2m,"8,2"
148. The Thing,1982,1h 49m,"8,2"
149. Le Labyrinthe de Pan,2006,1h 58m,"8,2"
150. Impitoyable,1992,2h 10m,"8,2"
151. Un homme d'exception,2001,2h 15m,"8,2"
152. Kill Bill: Volume I,2003,1h 51m,"8,2"
153. Le Trésor de la Sierra Madre,1948,2h 6m,"8,2"
154. Prisoners,2013,2h 33m,"8,2"
155. Le Garde du corps,1961,1h 50m,"8,2"
156. Le Monde de Nemo,2003,1h 40m,"8,2"
157. La grande évasion,1963,2h 52m,"8,2"
158. Le Château ambulant,2004,1h 59m,"8,2"
159. Monty Python : Sacré Graal !,1975,1h 31m,"8,2"
160. Elephant Man,1980,2h 4m,"8,2"
161. Le crime était presque parfait,1954,1h 45m,"8,2"
162. Autant en emporte le vent,1939,3h 58m,"8,2"
163. La Légende de Klaus,2019,1h 36m,"8,2"
164. Rashomon,1950,1h 28m,"8,2"
165. Chinatown,1974,2h 10m,"8,1"
166. Dans ses yeux,2009,2h 9m,"8,2"
"167. Arnaques, crimes et botanique",1998,1h 47m,"8,1"
168. V pour Vendetta,2005,2h 12m,"8,1"
169. Vice-versa,2015,1h 35m,"8,1"
170. 3 Billboards : Les Panneaux de la vengeance,2017,1h 55m,"8,1"
171. Le Pont de la rivière Kwaï,1957,2h 41m,"8,1"
172. Trainspotting,1996,1h 33m,"8,1"
173. Le Robot sauvage,2024,1h 42m,"8,2"
174. Arrête-moi si tu peux,2002,2h 21m,"8,1"
175. Raging Bull,1980,2h 9m,"8,1"
176. Fargo,1996,1h 38m,"8,1"
177. Warrior,2011,2h 20m,"8,1"
178. Harry Potter et les Reliques de la Mort : partie 2,2011,2h 10m,"8,1"
